"Data","preco"
"2017-12-31","20"
"2018-01-31","20.020000457763672"
"2018-02-28","21.76000022888184"
"2018-03-31","21.549999237060547"
"2018-04-30","22.13999938964844"
"2018-05-31","22.489999771118164"
"2018-06-30","24.26000022888184"
"2018-07-31","19.25"
"2018-08-31","19.600000381469727"
"2018-09-30","19.82999992370605"
"2018-10-31","20.93000030517578"
"2018-11-30","21.799999237060547"
"2018-12-31","21.68000030517578"
"2019-01-31","19.34000015258789"
"2019-02-28","19.07999992370605"
"2019-03-31","18.450000762939453"
"2019-04-30","19.63999938964844"
"2019-05-31","18.950000762939453"
"2019-06-30","19.40999984741211"
"2019-07-31","19.309999465942383"
"2019-08-31","17.950000762939453"
"2019-09-30","17.90999984741211"
"2019-10-31","17.530000686645508"
"2019-11-30","18.0"
"2019-12-31","19.729999542236328"
"2020-01-31","18.13999938964844"
"2020-02-29","16.959999084472656"
"2020-03-31","9.539999961853027"
"2020-04-30","8.649999618530273"
"2020-05-31","7.150000095367432"
"2020-06-30","8.09000015258789"
"2020-07-31","7.610000133514404"
"2020-08-31","7.340000152587891"
"2020-09-30","6.239999771118164"
"2020-10-31","6.03000020980835"
"2020-11-30","8.100000381469727"
"2020-12-31","8.850000381469727"
"2021-01-31","8.789999961853027"
"2021-02-28","12.229999542236328"
"2021-03-31","14.010000228881836"
"2021-04-30","15.399999618530272"
"2021-05-31","17.280000686645508"
"2021-06-30","18.8700008392334"
"2021-07-31","18.59000015258789"
"2021-08-31","23.420000076293945"
"2021-09-30","23.1299991607666"
"2021-10-31","21.93000030517578"
"2021-11-30","19.13999938964844"
"2021-12-31","24.81999969482422"
"2022-01-31","20.309999465942383"
"2022-02-28","17.600000381469727"
"2022-03-31","14.960000038146973"
"2022-04-30","14.210000038146973"
"2022-05-31","12.739999771118164"
"2022-06-30","11.4399995803833"
"2022-07-31","11.75"
"2022-08-31","13.81999969482422"
"2022-09-30","11.649999618530272"
"2022-10-31","13.75"
"2022-11-30","13.550000190734863"
"2022-12-31","14.3100004196167"
"2023-01-31","16.350000381469727"
"2023-02-28","16.59000015258789"
"2023-03-31","20.790000915527344"
"2023-04-30","19.420000076293945"
"2023-05-31","19.020000457763672"
"2023-06-30","18.540000915527344"
"2023-07-31","18.51000022888184"
"2023-08-31","19.489999771118164"
"2023-09-30","17.219999313354492"
"2023-10-31","17.59000015258789"
"2023-11-30","21.5"
"2023-12-31","22.38999938964844"
"2024-01-31","22.780000686645508"
"2024-02-29","24.43000030517578"
"2024-03-31","33.310001373291016"
"2024-04-30","33.349998474121094"
"2024-05-31","36.22999954223633"
"2024-06-30","36.150001525878906"
"2024-07-31","43.810001373291016"
"2024-08-31","46.83000183105469"
"2024-09-30","47.970001220703125"
"2024-10-31","48.47999954223633"
"2024-11-30","58.130001068115234"
"2024-12-31","56.18999862670898"
"2025-01-31","59.70000076293945"
"2025-02-28","69.72000122070312"
"2025-03-31","65.75"
"2025-04-30","64.91999816894531"
"2025-05-31","65.48999786376953"
"2025-06-30","77.01000213623047"
"2025-07-31","80.66000366210938"
"2025-08-31","76.19999694824219"
"2025-09-30","80.29000091552734"
"2025-10-31","86.98999786376953"
"2025-11-30","84.04000091552734"
"2025-12-31","88.5999984741211"
