Data,Ano,Mes,AnoMes,Ativo,TickerAtual,TickerAcao,IndiceMercado,PrecoAcao,PrecoMercado,RetornoAcao,RetornoMercado,RFAnual,RFMensal,FatorRFMensal,ExcessoAcao,ExcessoMercado,RetornoAcumuladoAcao,RetornoAcumuladoMercado
2018-01-31,2018,1,2018-01,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,20.020000457763672,84913.0,0.0010000228881836826,0.11139760739247673,0.0689,0.005567950594939086,1.005567950594939,-0.004567927706755404,0.10582965679753764,0.0010000228881836826,0.11139760739247673
2018-02-28,2018,2,2018-02,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,21.76000022888184,85481.0,0.08691307349313293,0.006689199533640222,0.0664,0.005371750547560561,1.0053717505475606,0.08154132294557237,0.0013174489860796612,0.0880000114440922,0.1188319677495353
2018-03-31,2018,3,2018-03,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,21.549999237060547,85366.0,-0.00965078077262882,-0.0013453282015886137,0.0639,0.005175128417311603,1.0051751284173116,-0.014825909189940423,-0.006520456618900217,0.07749996185302765,0.11732677155048288
2018-04-30,2018,4,2018-04,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,22.13999938964844,86115.0,0.027378198305141543,0.008773984958882819,0.0639,0.005175128417311603,1.0051751284173116,0.02220306988782994,0.003598856541571216,0.10699996948242219,0.12713017983822383
2018-05-31,2018,5,2018-05,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,22.489999771118164,76754.0,0.015808509083941713,-0.10870347790744939,0.0639,0.005175128417311603,1.0051751284173116,0.01063338066663011,-0.11387860632476099,0.12449998855590816,0.004607209235359955
2018-06-30,2018,6,2018-06,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,24.26000022888184,72763.0,0.07870166633068276,-0.05199729004351561,0.0639,0.005175128417311603,1.0051751284173116,0.07352653791337116,-0.05717241846082721,0.21300001144409175,-0.04762964320305785
2018-07-31,2018,7,2018-07,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,19.25,79220.0,-0.20651278572196263,0.08874015639816935,0.0639,0.005175128417311603,1.0051751284173116,-0.21168791413927424,0.08356502798085774,-0.0375000000000002,0.03688385120808313
2018-08-31,2018,8,2018-08,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,19.600000381469727,76678.0,0.01818183799842732,-0.03208785660186819,0.0639,0.005175128417311603,1.0051751284173116,0.013006709581115716,-0.037262985019179795,-0.019999980926513894,0.0036124708777254266
2018-09-30,2018,9,2018-09,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,19.82999992370605,79342.0,0.01173467029387254,0.034742690211012395,0.0639,0.005175128417311603,1.0051751284173116,0.006559541876560937,0.029567561793700792,-0.008500003814697732,0.038480668045338895
2018-10-31,2018,10,2018-10,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,20.93000030517578,87424.0,0.055471527266862,0.10186282170855288,0.064,0.005183001430342005,1.005183001430342,0.05028852583651999,0.09667982027821087,0.046500015258788885,0.14426323918222006
2018-11-30,2018,11,2018-11,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,21.799999237060547,89504.0,0.04156707688483041,0.023792093704245953,0.064,0.005183001430342005,1.005183001430342,0.03638407545448841,0.01860909227390395,0.08999996185302717,0.17148765739116745
2018-12-31,2018,12,2018-12,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,21.68000030517578,87887.0,-0.005504538352495203,-0.01806623167679655,0.064,0.005183001430342005,1.005183001430342,-0.010687539782837208,-0.023249233107138556,0.08400001525878897,0.150323289966231
2019-01-31,2019,1,2019-01,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,19.34000015258789,97394.0,-0.10793358485466675,0.10817299486841048,0.064,0.005183001430342005,1.005183001430342,-0.11311658628500876,0.10298999343806847,-0.03299999237060558,0.27475720530876124
2019-02-28,2019,2,2019-02,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,19.07999992370605,95584.0,-0.013443651852662941,-0.01858430704150149,0.064,0.005183001430342005,1.005183001430342,-0.018626653283004946,-0.023767308471843496,-0.0460000038146976,0.2510667260019368
2019-03-31,2019,3,2019-03,Embraer S.A.,EMBJ3.SA,EMBR3,^BVSP,18.450000762939453,95415.0,-0.03301882407157941,-0.0017680783394710131,0.064,0.005183001430342005,1.005183001430342,-0.038201825501921416,-0.006951079769813018,-0.07749996185302754,0.24885474202245983
